index,Ruch sieciowy
0,0.0
1,0.05
2,0.1
3,0.15000000000000002
4,0.2
5,0.25
6,0.30000000000000004
7,0.35000000000000003
8,0.4
9,0.45
10,0.5
11,0.55
12,0.6000000000000001
13,0.65
14,0.7000000000000001
15,0.75
16,0.8
17,0.8500000000000001
18,0.9
19,0.9500000000000001
20,1.0
21,1.05
22,1.1
23,1.1500000000000001
24,1.2000000000000002
25,1.25
26,1.3
27,1.35
28,1.4000000000000001
29,1.4500000000000002
30,1.5
31,1.55
32,1.6
33,1.6500000000000001
34,1.7000000000000002
35,1.75
36,1.8
37,1.85
38,1.9000000000000001
39,1.9500000000000002
40,2.0
41,2.0500000000000003
42,2.1
43,2.15
44,2.2
45,2.25
46,2.3000000000000003
47,2.35
48,2.4000000000000004
49,2.45
50,2.5
51,2.5500000000000003
52,2.6
53,2.6500000000000004
54,2.7
55,2.75
56,2.8000000000000003
57,2.85
58,2.9000000000000004
59,2.95
60,3.0
61,3.0500000000000003
62,3.1
63,3.1500000000000004
64,3.2
65,3.25
66,3.3000000000000003
67,3.35
68,3.4000000000000004
69,3.45
70,3.5
71,3.5500000000000003
72,3.6
73,3.6500000000000004
74,3.7
75,3.75
76,3.8000000000000003
77,3.85
78,3.9000000000000004
79,3.95
80,4.0
81,4.05
82,4.1000000000000005
83,4.15
84,4.2
85,4.25
86,4.3
87,4.3500000000000005
88,4.4
89,4.45
90,4.5
91,4.55
92,4.6000000000000005
93,4.65
94,4.7
95,4.75
96,4.800000000000001
97,4.8500000000000005
98,4.9
99,4.95
100,5.0
101,5.050000000000001
102,5.1000000000000005
103,5.15
104,5.2
105,5.25
106,5.300000000000001
107,5.3500000000000005
108,5.4
109,5.45
110,5.5
111,5.550000000000001
112,5.6000000000000005
113,5.65
114,5.7
115,5.75
116,5.800000000000001
117,5.8500000000000005
118,5.9
119,5.95
120,6.0
121,6.050000000000001
122,6.1000000000000005
123,6.15
124,6.2
125,6.25
126,6.300000000000001
127,6.3500000000000005
128,6.4
129,6.45
130,6.5
131,6.550000000000001
132,6.6000000000000005
133,6.65
134,6.7
135,6.75
136,6.800000000000001
137,6.8500000000000005
138,6.9
139,6.95
140,7.0
141,7.050000000000001
142,7.1000000000000005
143,7.15
144,7.2
145,7.25
146,7.300000000000001
147,7.3500000000000005
148,7.4
149,7.45
150,7.5
151,7.550000000000001
152,7.6000000000000005
153,7.65
154,7.7
155,7.75
156,7.800000000000001
157,7.8500000000000005
158,7.9
159,7.95
160,8.0
161,8.05
162,8.1
163,8.15
164,8.200000000000001
165,8.25
166,8.3
167,8.35
168,8.4
169,8.450000000000001
170,8.5
171,8.55
172,8.6
173,8.65
174,8.700000000000001
175,8.75
176,8.8
177,8.85
178,8.9
179,8.950000000000001
180,9.0
181,9.05
182,9.1
183,9.15
